Diff. from home mean time,Fraction of days visited,Fraction of time spent at loc.,Span of days visited,species
1.24892447748,1.0,1.0,0.5,Other
8.5,1.0,1.0,0.0104166666667,Dorm
1.64909869033,0.581395348837,0.335258704849,128.041666667,Dorm
8.05947320748,0.0285714285714,0.0013406822583,69.9270833333,Campus
10.6163064105,0.233333333333,0.0213751335946,29.2395833333,Campus
10.3071150168,0.172413793103,0.00705532862978,28.0520833333,Campus
1.15278631468,1.0,0.481481481481,0.5625,Other
5.11988235834,1.0,0.173333333333,1.5625,Other
3.58485511959,0.0671641791045,0.0281027714075,267.989583333,Dorm
9.05781867138,0.115853658537,0.0178742419406,163.177083333,Campus
11.4022429117,0.05,0.00465624554568,219.239583333,Campus
1.36944160961,0.265560165975,0.198383192115,240.958333333,Dorm
5.24892447748,1.0,0.96,0.260416666667,Dorm
8.36673507819,1.0,1.0,0.15625,Other
7.31248488122,0.119565217391,0.0147378041814,91.1770833333,Campus
10.9729421727,0.09726443769,0.00218492716909,328.958333333,Campus
10.8962097168,0.3125,0.0701381509033,127.427083333,Campus
1.99234747588,0.478787878788,0.432452925566,329.708333333,Dorm
6.79178304593,0.0340909090909,0.00324174738091,263.489583333,Dorm
3.74646172441,0.0280373831776,0.00262978474725,213.895833333,Dorm
7.37832824615,1.0,1.0,0.260416666667,Dorm
5.39464830388,0.0174672489083,0.00205526375885,228.072916667,Dorm
9.27142267475,0.105263157895,0.00776053215078,18.7916666667,Dorm
0.363525695228,0.350806451613,0.281267090152,247.614583333,Dorm
4.5,0.0307692307692,0.00323206205559,64.4583333333,Dorm
9.82999267899,0.0454545454545,0.00444444444444,131.25,Other
4.50255409016,0.0487804878049,0.00778210116732,40.15625,Other
7.23083743552,0.0526315789474,0.00556999628667,56.1041666667,Dorm
2.11621561071,0.0634920634921,0.00578895137281,62.9791666667,Dorm
6.86869871145,1.0,1.0,0.197916666667,Dorm
5.68402494406,0.038961038961,0.00833902939166,76.1979166667,Dorm
8.17435676322,0.0865051903114,0.00753506147024,288.927083333,Campus
1.29833766778,1.0,1.0,0.104166666667,Dorm
5.91220872929,0.0526315789474,0.00708333333333,75.0,Dorm
7.96867906557,0.05,0.00499474237645,39.625,Other
2.22044604925e-16,0.4,0.00501253132832,4.15625,Other
11.7273962358,0.428571428571,0.0456245325355,13.9270833333,Campus
11.0270063431,0.0916666666667,0.00130457470864,119.770833333,Campus
2.33147562164,1.0,0.8,0.15625,Other
8.92643039789,0.0961538461538,0.0102183931076,51.9895833333,Campus
10.5573702956,0.452380952381,0.106231231231,83.25,Other
7.67547965609,1.0,0.025,1.25,Other
0.442800721511,0.131313131313,0.65877628659,98.5729166667,Dorm
2.09011546674,0.350453172205,0.568479530318,330.010416667,Dorm
9.66560655319,0.0540540540541,0.00173360300491,36.0520833333,Campus
11.4668964171,0.226993865031,0.039201870416,325.239583333,Campus
11.0169339575,0.0285714285714,0.00280767430978,244.864583333,Dorm
9.89850490521,1.0,1.0,0.15625,Other
7.47676872046,1.0,0.517647058824,0.885416666667,Dorm
6.61188019144,1.0,0.533333333333,0.15625,Other
4.0,1.0,1.0,0.354166666667,Dorm
5.86348746345,1.0,1.0,0.114583333333,Dorm
3.59695763003,0.0847457627119,0.0436728118847,58.1979166667,Dorm
0.370382066797,1.0,0.416666666667,1.625,Other
9.5,1.0,1.0,0.0104166666667,Dorm
8.57118944464,0.130434782609,0.00960329255745,91.1145833333,Campus
10.3625699336,0.025641025641,0.00432140445645,77.1354166667,Dorm
8.63326492181,1.0,1.0,0.15625,Other
5.82690165123,0.0084388185654,0.000836893802581,236.489583333,Dorm
9.10149509479,1.0,1.0,0.15625,Other
9.97421257778,0.117647058824,0.0122056466527,84.4895833333,Campus
7.39024823852,0.0574324324324,0.0436562555144,295.15625,Other
8.1600014608,0.0192307692308,0.0005359056806,155.5,Other
4.85918747772,1.0,0.934426229508,0.635416666667,Dorm
7.89143927142,0.5,0.0878148400272,15.3020833333,Campus
1.64874182623,0.522807017544,0.323872572327,284.802083333,Dorm
2.52189478327,0.375,0.157007203667,63.625,Other
9.7487815855,0.36036036036,0.0613518088908,332.270833333,Campus
0.135476349425,0.0255474452555,0.00297460147967,273.145833333,Dorm
6.36827811591,0.014598540146,0.00179238807109,273.145833333,Campus
10.5,1.0,1.0,0.0104166666667,Dorm
6.89850490521,1.0,1.0,0.15625,Other
7.38068158864,0.015037593985,0.00189170016552,132.15625,Other
9.84480097004,0.201863354037,0.0450286899861,321.322916667,Dorm
2.09219810126,0.157894736842,0.04606552305,303.010416667,Dorm
8.83278787821,0.103225806452,0.0135408245756,309.25,Other
6.7140405045,0.0817610062893,0.0216561348078,158.25,Other
9.06894704285,1.0,0.408333333333,1.25,Other
10.3903416498,0.529411764706,0.161622665808,16.1770833333,Campus
11.0188299203,0.6,0.230560087004,19.15625,Other
1.70816893508,0.281690140845,0.333659826632,212.697916667,Dorm
5.61890010434,1.0,1.0,0.177083333333,Dorm
7.80801906355,0.333333333333,0.0240480961924,5.19791666667,Dorm
2.10149509479,1.0,1.0,0.15625,Other
9.9465061175,0.354430379747,0.113097602966,78.65625,Other
4.10149509479,1.0,1.0,0.15625,Other
6.63326492181,1.0,1.0,0.15625,Other
4.10149509479,1.0,1.0,0.15625,Other
6.10149509479,1.0,1.0,0.15625,Other
7.96006252215,1.0,0.866666666667,0.15625,Other
0.298166158153,0.444078947368,0.418061810306,303.010416667,Dorm
9.74892447748,0.111111111111,0.00118870728083,35.0520833333,Campus
1.52637478688,0.582582582583,0.423712889891,332.625,Other
9.93468032296,0.316265060241,0.0784874583517,331.395833333,Campus
11.8432046123,0.121212121212,0.0123256568278,32.1145833333,Campus
10.1196154745,0.352490421456,0.0672618809305,260.177083333,Campus
11.7436544698,0.51724137931,0.0632162661738,28.1770833333,Campus
1.02714135117,0.216783216783,0.206870145498,285.65625,Other
10.681733167,0.201863354037,0.0276868212028,321.302083333,Campus
10.4601235024,0.0131578947368,0.000411649686117,303.65625,Other
5.63792795078,0.717647058824,0.142015465816,84.8645833333,Campus
8.71292757594,1.0,0.216666666667,0.625,Other
0.863487463454,1.0,1.0,0.114583333333,Dorm
8.07183088831,1.0,1.0,0.0729166666667,Dorm
3.0,1.0,1.0,0.0416666666667,Dorm
6.0,1.0,1.0,0.166666666667,Dorm
9.5,1.0,1.0,0.0104166666667,Dorm
6.63680863232,0.0277777777778,0.00526932084309,71.1666666667,Dorm
6.24892447748,1.0,1.0,0.166666666667,Dorm
9.08743843976,0.492647058824,0.105194305502,135.364583333,Campus
11.1745140963,0.0583333333333,0.00596508033265,239.239583333,Campus
11.1295091146,0.140127388535,0.0217268529285,313.552083333,Campus
10.5902869934,0.0127388535032,0.0017310252996,156.458333333,Campus
11.1256735081,0.025,0.00105429625725,79.0416666667,Dorm
8.58172635457,0.0952380952381,0.00459228000496,83.9270833333,Campus
11.6492732496,0.0936454849498,0.00576358809557,298.208333333,Campus
11.7473202629,0.33033033033,0.0596991538703,332.395833333,Campus
11.5751846952,1.0,0.193236714976,2.15625,Other
10.1281248557,0.393939393939,0.047264486889,32.1770833333,Campus
11.8646396704,0.11214953271,0.0112739205302,320.614583333,Campus
